text,sentiment
"Apakah kita sedang menjalankan UU Kekarantinaan? 
#ppkm 
#psbb
https://t.co/gYekyMSBNj",1
Berita terbaru: Pentingnya Akselerasi Vaksinasi dan Disiplin Prokes Kendalikan Kasus Aktif https://t.co/PEhyqbqFsp #Joko_Widodo #PPKM #Presiden_RI,1
Pembatasan sosial sebagai bentuk penanganan Covid19 di Indonesia yg semulanya rilis di bioskop beberapa bulan sekali sekarang pindah tayang ke Disney+ dan jadi mingguan #PPKM,1
"Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level 4, 3, dan 2 di #PikoData https://t.co/kPfevcE3WK",1
"Dalam penerapannya, #PPKM Mikro dilakukan dengan mempertimbangkan kriteria zonasi pengendalian wilayah hingga tingkat RT.

https://t.co/wyYmXyRM2J",1
"Tak ingin kasus Covid di Tanah Air kembali meningkat, pemerintah resmi perketat momen akhir tahun dan larang pesta kembang api. #PPKMLevel3Berlaku #ppkm

https://t.co/WZrCd9VzQT",1
"Waspada terus pokoknya
#Vaksin
#PPKM
#Covid19
#Pandemi
#Indonesia https://t.co/8DLQXz151q",1
"Sebanyak 500 warga Kecamatan Cicalengka, Kabupaten Bandung, Jawa Barat menjalani vaksinasi COVID-19 yang dilakukan di obyek wisata. #PPKM  https://t.co/XSjWP3Aafg",1
"Buat kamu pekerja sektor esensial dan kritikal yang telah memiliki STRP dengan masa berlaku sampai dengan 20 Juli 2021, kamu tidak perlu mengajukan STRP kembali. 

#strp #esensial #kritikal #ppkm #ppkmdarurat #ppkmlevel4 #suratijin #jakarta https://t.co/FlRAunv2gz",1
"Peraturan boleh makan ditempat dibatasi 20 menit jadi ledekan, padahal harusnya kita paham isi pesan tsb, yaitu untuk prokes  ttp berkalan dan ekonomi kecilpun ttp berjalan.
#ppkm
#jokowi https://t.co/WpnVgigpg7",2
"Let us fall in love to our future more than to our past💓💫 … Good morning 

#bali #river #purification #nature #ppkm #holiday  #rezaheadline #happy  #blessed #melukat #godandgoddess #itisallinthismoment #pramanagirikusuma https://t.co/hw6ieRENvZ",0
https://t.co/yWF2kwtFMB @jayapuraupdate  #Jayapura #Papua #PPKM,1
"Alhamdulillah, semakin menunjukkan tren positif. Semoga #PPKM level 3 di beberapa kabupaten/kota cepat menurun..

#kepri #COVID19 
https://t.co/ABpHM4hRQZ",0
Bupati Jember beri arahan pada Pelaku Usaha agar taat aturan PPKM Darurat #PPKM https://t.co/icBPSqwnHM,1
"Arahan Kapolres Bangka Barat Saat Apel Pagi Lawan covid-19 menuju kehidupan normal di Kabupaten Bangka Barat

#ppkm
#DumasPresisi
#SinergitasTNIPolri
# Presisi
# Bravopolri
# LawanCovid-19
#AksiKemanusiaanPolri
#PelayananPrimaPolri
@multimedia.humaspolri 
@poldababel https://t.co/W2IP3LqcSS",1
"https://t.co/MKkMRHAnqx 

Gonta-ganti Nama dari PSBB Hingga PPKM level 4, Apa Bedanya?

#PPKM 
#PSBB",1
